taxon_key_gbif_id,superfamily_name,family_name,subfamily_name,genus_name,name,search_species_name,gbif_species_name,confidence,status,match type,source,iNaturalist count
1856720,Tineoidea,Tineidae,Nemapogoninae,Nemapogon,multistriatella,Nemapogon multistriatella,Nemapogon multistriatella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,9
1856681,Tineoidea,Tineidae,Nemapogoninae,Nemapogon,ophrionella,Nemapogon ophrionella,Nemapogon ophrionella,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
1856699,Tineoidea,Tineidae,Nemapogoninae,Nemapogon,tylodes,Nemapogon tylodes,Nemapogon tylodes,99,ACCEPTED,EXACT,Quebec_Pohl2018,7
1856686,Tineoidea,Tineidae,Nemapogoninae,Nemapogon,variatella,Nemapogon variatella,Nemapogon variatella,99,ACCEPTED,EXACT,Quebec_Pohl2018,2
1857767,Tineoidea,Tineidae,"Tineidae ""clade B""",Leucomele,miriamella,Leucomele miriamella,Leucomele miriamella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,4
1858498,Tineoidea,Tineidae,"Tineidae ""clade B""",Homosetia,argentinotella,Homosetia argentinotella,Homosetia argentinotella,99,ACCEPTED,EXACT,Quebec_Pohl2018,8
1858493,Tineoidea,Tineidae,"Tineidae ""clade B""",Homosetia,bifasciella,Homosetia bifasciella,Homosetia bifasciella,99,ACCEPTED,EXACT,Quebec_Pohl2018,2
1858508,Tineoidea,Tineidae,"Tineidae ""clade B""",Homosetia,costisignella,Homosetia costisignella,Homosetia costisignella,99,ACCEPTED,EXACT,Quebec_Pohl2018,8
1858509,Tineoidea,Tineidae,"Tineidae ""clade B""",Homosetia,fasciella,Homosetia fasciella,Homosetia fasciella,99,ACCEPTED,EXACT,Quebec_Pohl2018,2
1858502,Tineoidea,Tineidae,"Tineidae ""clade B""",Homosetia,marginimaculella,Homosetia marginimaculella,Homosetia marginimaculella,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
1856368,Tineoidea,Tineidae,"Tineidae ""clade B""",Isocorypha,mediostriatella,Isocorypha mediostriatella,Isocorypha mediostriatella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,30
5122995,Tineoidea,Tineidae,Tineinae,Tinea,carnariella,Tinea carnariella,Tinea carnariella,99,ACCEPTED,EXACT,Quebec_Pohl2018 Vermont_29March2021,0
1858107,Tineoidea,Tineidae,Tineinae,Tinea,columbariella,Tinea columbariella,Tinea columbariella,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
5122976,Tineoidea,Tineidae,Tineinae,Tinea,croceoverticella,Tinea croceoverticella,Tinea croceoverticella,99,ACCEPTED,EXACT,Quebec_Pohl2018,0
