,Species Key,Taxon Key,GBIF Species Name,Source
1121,1742321,10654819,Olethreutes subnubilum,Quebec_Pohl2018
1122,1742187,1742187,Olethreutes electrofuscum,Quebec_Pohl2018
1123,1742186,1742186,Olethreutes rusticanum,Quebec_Pohl2018
1124,NA,NA,NA,Quebec_Pohl2018
1125,1742208,1742208,Olethreutes footiana,Quebec_Pohl2018
1126,1742089,1742089,Olethreutes atrodentana,Quebec_Pohl2018
1127,1742304,1742304,Olethreutes punctanum,Quebec_Pohl2018
1128,1742168,1742168,Olethreutes connectum,Quebec_Pohl2018
1129,1742287,1742287,Olethreutes inornatana,Quebec_Pohl2018
1130,1742091,1742091,Olethreutes exoletum,Quebec_Pohl2018
1131,1742281,1742281,Olethreutes bicoloranum,Quebec_Pohl2018
1132,1742273,1742273,Olethreutes quadrifidum,Quebec_Pohl2018
1133,1742239,1742239,Olethreutes tilianum,Quebec_Pohl2018
1134,1742249,1742249,Olethreutes clavana,Quebec_Pohl2018
1135,1742280,1742280,Olethreutes mysteriana,Quebec_Pohl2018
1136,1742241,1742241,Olethreutes nigranum,Quebec_Pohl2018
1137,1742136,1742136,Olethreutes viburnanum,Quebec_Pohl2018
1138,NA,NA,NA,Quebec_Pohl2018
1139,1742268,1742268,Olethreutes hamameliana,Quebec_Pohl2018
1140,1742124,1742124,Olethreutes corylana,Quebec_Pohl2018
1141,NA,NA,NA,Quebec_Pohl2018
1142,10525320,10525320,Olethreutes fagigemmeana,Quebec_Pohl2018
1143,1742218,1742218,Olethreutes sericoranum,Quebec_Pohl2018
1144,1742180,1742180,Olethreutes valdanum,Quebec_Pohl2018
1145,NA,NA,NA,Quebec_Pohl2018
1146,1742146,1742146,Olethreutes versicolorana,Quebec_Pohl2018
1147,1742194,1742194,Olethreutes brevirostratum,Quebec_Pohl2018
1148,1742119,1742119,Olethreutes galevora,Quebec_Pohl2018
1149,1742178,1742178,Olethreutes permundana,Quebec_Pohl2018
1150,1742332,1742332,Olethreutes submissanum,Quebec_Pohl2018
1151,1742269,1742269,Olethreutes nananum,Quebec_Pohl2018
1152,1742081,1742081,Olethreutes malana,Quebec_Pohl2018
1153,1742198,1742198,Olethreutes appendiceum,Quebec_Pohl2018
1154,1742203,1742203,Olethreutes concinnana,Quebec_Pohl2018
1155,1742335,1742335,Olethreutes fasciatana,Quebec_Pohl2018
1156,1742204,1742204,Olethreutes troglodanum,Quebec_Pohl2018
1157,1742113,1742113,Olethreutes lacunanum,Quebec_Pohl2018
1158,1742293,1742293,Olethreutes ferriferana,Quebec_Pohl2018
1159,1742214,1742214,Olethreutes osmundana,Quebec_Pohl2018
1160,1742078,1742078,Olethreutes auricapitana,Quebec_Pohl2018
1161,1742285,1742285,Olethreutes albiciliana,Quebec_Pohl2018
1162,1742118,1742118,Olethreutes sordidana,Quebec_Pohl2018
1163,1742140,1742140,Olethreutes galaxana,Quebec_Pohl2018
1164,1742121,1742121,Olethreutes astrologana,Quebec_Pohl2018
1165,1742157,1742157,Olethreutes coruscana,Quebec_Pohl2018
1166,1742262,1742262,Olethreutes ferrolineana,Quebec_Pohl2018
1167,1742263,1742263,Olethreutes metallicana,Quebec_Pohl2018
1168,1742147,1742147,Olethreutes nordeggana,Quebec_Pohl2018
1169,1742250,1742250,Olethreutes heinrichana,Quebec_Pohl2018
1170,1742098,1742098,Olethreutes minaki,Quebec_Pohl2018
1171,NA,NA,NA,Quebec_Pohl2018
1172,1742074,10431665,Olethreutes carolana,Quebec_Pohl2018
1173,1742069,1742069,Olethreutes polluxana,Quebec_Pohl2018
1174,1742097,1742097,Olethreutes glaciana,Quebec_Pohl2018
1175,1742260,1742260,Olethreutes bipartitana,Quebec_Pohl2018
1176,1742216,10648230,Olethreutes trinitana,Quebec_Pohl2018
1177,1742142,1742142,Olethreutes schulziana,Quebec_Pohl2018
1178,1742213,1742213,Olethreutes turfosana,Quebec_Pohl2018
1179,1742236,1742236,Olethreutes septentrionana,Quebec_Pohl2018
1180,1742275,1742275,Olethreutes inquietana,Quebec_Pohl2018
1181,1742303,10122773,Olethreutes mengelana,Quebec_Pohl2018
1182,1742114,10612439,Olethreutes costimaculana,Quebec_Pohl2018
1183,1742148,1742148,Olethreutes buckellana,Quebec_Pohl2018
1184,1743768,1743768,Celypha cespitana,Quebec_Pohl2018
1185,NA,NA,NA,Quebec_Pohl2018
1186,1737544,1737544,Hedya separatana,Quebec_Pohl2018
1187,1737552,1737552,Hedya ochroleucana,Quebec_Pohl2018
1188,1737526,1737526,Hedya nubiferana,Quebec_Pohl2018
1189,1737551,1737551,Hedya chionosema,Quebec_Pohl2018
1190,1737521,1737521,Hedya cyanana,Quebec_Pohl2018
1191,1743653,1743653,Evora hemidesma,Quebec_Pohl2018
1192,5103183,5103183,Ancylis nubeculana,Quebec_Pohl2018
1193,NA,NA,NA,Quebec_Pohl2018
1194,5103231,5103133,Ancylis lamiana,Quebec_Pohl2018
1195,5103083,5103083,Ancylis metamelana,Quebec_Pohl2018
1196,5103111,5103111,Ancylis semiovana,Quebec_Pohl2018
1197,NA,NA,NA,Quebec_Pohl2018
1198,5103214,5103214,Ancylis mira,Quebec_Pohl2018
1199,5103230,5103230,Ancylis brauni,Quebec_Pohl2018
1200,5103227,5103227,Ancylis comptana,Quebec_Pohl2018
1201,5103154,5103154,Ancylis divisana,Quebec_Pohl2018
1202,5103164,5103164,Ancylis apicana,Quebec_Pohl2018
1203,5103118,5103118,Ancylis muricana,Quebec_Pohl2018
1204,9023222,9023222,Ancylis diminuatana,Quebec_Pohl2018
1205,5771232,5771232,Ancylis unguicella,Quebec_Pohl2018
1206,5771256,5771256,Ancylis uncella,Quebec_Pohl2018
1207,5103098,5103098,Ancylis goodelliana,Quebec_Pohl2018
1208,5103082,5103082,Ancylis mediofasciana,Quebec_Pohl2018
1209,5771230,5771230,Ancylis tineana,Quebec_Pohl2018
1210,5103100,5103100,Ancylis albacostana,Quebec_Pohl2018
1211,1739381,1739381,Rhyacionia buoliana,Quebec_Pohl2018
1212,1739362,1739362,Rhyacionia rigidana,Quebec_Pohl2018
1213,1739369,1739369,Rhyacionia adana,Quebec_Pohl2018
1214,1739349,1739349,Rhyacionia busckana,Quebec_Pohl2018
1215,1739376,1739376,Rhyacionia granti,Quebec_Pohl2018
1216,1739374,1739374,Rhyacionia sonia,Quebec_Pohl2018
1217,1739360,1739360,Rhyacionia aktita,Quebec_Pohl2018
1218,1738909,1738909,Retinia comstockiana,Quebec_Pohl2018
1219,1738893,1738893,Retinia albicapitana,Quebec_Pohl2018
1220,1738888,1738888,Retinia gemistrigulana,Quebec_Pohl2018
1221,1738904,1738904,Retinia mafica,Quebec_Pohl2018
1222,1738906,1738906,Retinia pallipennis,Quebec_Pohl2018
1223,1738907,1738907,Retinia burkeana,Quebec_Pohl2018
1224,1748118,1748118,Barbara colfaxiana,Quebec_Pohl2018
1225,1748109,1748109,Barbara mappana,Quebec_Pohl2018
1226,5103066,5103066,Spilonota ocellana,Quebec_Pohl2018
1227,5771357,5771357,Spilonota laricana,Quebec_Pohl2018
1228,5103308,5103308,Eucosma glomerana,Quebec_Pohl2018
1229,5103829,5103829,Eucosma sombreana,Quebec_Pohl2018
