accepted_taxon_key,order,family,genus,search_species,gbif_species,confidence,status,match_type,rank,source
1991005,Lepidoptera,Geometridae,Nematocampa,Nematocampa reticulata,Nematocampa reticulata,99,ACCEPTED,EXACT,SPECIES,panama-bci
1810152,Lepidoptera,Erebidae,Eucereon,Nelphe relegatum,Eucereon relegatum,99,SYNONYM,EXACT,SPECIES,panama-bci
-1,NotAvail,NotAvail,NotAvail,Negathia corruptata,NotAvail,100,NotAvail,NONE,NotAvail,panama-bci
1954023,Lepidoptera,Uraniidae,Nedusia,Nedusia cuticulata,Nedusia cuticulata,99,ACCEPTED,EXACT,SPECIES,panama-bci
1954019,Lepidoptera,Uraniidae,Nedusia,Nedusia mutilaria,Nedusia mutilaria,99,ACCEPTED,EXACT,SPECIES,panama-bci
1975287,Lepidoptera,Geometridae,Neagathia,Neagathia corruptata,Neagathia corruptata,99,ACCEPTED,EXACT,SPECIES,panama-bci
1876915,Lepidoptera,Pyralidae,Navura,Navura lobata,Navura lobata,99,ACCEPTED,EXACT,SPECIES,panama-bci
1877463,Lepidoptera,Pyralidae,Navasota,Navasota myriolecta,Navasota myriolecta,99,ACCEPTED,EXACT,SPECIES,panama-bci
1753712,Lepidoptera,Limacodidae,Natada,Natada michorta,Natada michorta,99,ACCEPTED,EXACT,SPECIES,panama-bci
1753697,Lepidoptera,Limacodidae,Natada,Natada nindla,Natada nindla,99,ACCEPTED,EXACT,SPECIES,panama-bci
1753688,Lepidoptera,Limacodidae,Natada,Natada incandescens,Natada incandescens,99,ACCEPTED,EXACT,SPECIES,panama-bci
1753687,Lepidoptera,Limacodidae,Natada,Natada subpectinata,Natada subpectinata,99,ACCEPTED,EXACT,SPECIES,panama-bci
1753661,Lepidoptera,Limacodidae,Natada,Natada lucens,Natada lucens,99,ACCEPTED,EXACT,SPECIES,panama-bci
1753658,Lepidoptera,Limacodidae,Natada,Natada fusca,Natada fusca,99,ACCEPTED,EXACT,SPECIES,panama-bci
1753557,Lepidoptera,Limacodidae,Narosopsis,Narosopsis leucospila,Narosopsis leucospila,99,ACCEPTED,EXACT,SPECIES,panama-bci
1868515,Lepidoptera,Bombycidae,Naprepa,Naprepa houla,Naprepa houla,99,ACCEPTED,EXACT,SPECIES,panama-bci
10650754,Lepidoptera,Erebidae,Uranophora,Napata flaviceps,Napata flaviceps,98,DOUBTFUL,EXACT,SPECIES,panama-bci
-1,NotAvail,NotAvail,NotAvail,Nagara fenestra,NotAvail,100,NotAvail,NONE,NotAvail,panama-bci
10642453,Lepidoptera,Euteliidae,Stictoptera,Nagara vitrea,Nagara vitrea,98,DOUBTFUL,EXACT,SPECIES,panama-bci
-1,NotAvail,NotAvail,NotAvail,Nacoleia acutangulalis,NotAvail,100,NotAvail,NONE,NotAvail,panama-bci
-1,NotAvail,NotAvail,NotAvail,Nacoleia brunnescens,NotAvail,100,NotAvail,NONE,NotAvail,panama-bci
