speciesKey,species,genus,family
1964662,Epirrhoe trappa,Epirrhoe,Geometridae
1979178,Stenalcidia tristaria,Stenalcidia,Geometridae
1828196,Goaxis fertilis,Goaxis,Notodontidae
9015330,Elachista bregorella,Elachista,Elachistidae
1848529,Filatima striatella,Filatima,Gelechiidae
1965706,Glena uncata,Glena,Geometridae
1981292,Nemoria interlucens,Nemoria,Geometridae
1969637,Urepione contorta,Urepione,Geometridae
1885917,Camptomastix baracoalis,Camptomastix,Crambidae
1747032,Ardeutica melidora,Ardeutica,Tortricidae
9056423,Glyphidocera cauponae,Glyphidocera,Autostichidae
1838148,Gonionota poecilia,Gonionota,Depressariidae
1961635,Berberodes campylophleps,Berberodes,Geometridae
1985465,Melinoides glomeraria,Melinoides,Geometridae
1988984,Pyrinia dispansa,Pyrinia,Geometridae
1826064,Dasylophia obscura,Dasylophia,Notodontidae
1850936,Chionodes luteogeminata,Chionodes,Gelechiidae
1736557,Grapholita schizodelta,Grapholita,Tortricidae
1956205,Atyriodes parapostica,Atyriodes,Geometridae
5117129,Pseudosphex caurensis,Pseudosphex,Erebidae
1972935,Spargania subdecorata,Spargania,Geometridae
1981573,Nephodia pellucida,Nephodia,Geometridae
1989136,Cidariophanes joya,Cidariophanes,Geometridae
1810323,Eucereon albitorna,Eucereon,Erebidae
1846016,Glyphidocera vestita,Glyphidocera,Autostichidae
1826397,Tachuda ernea,Tachuda,Notodontidae
5101837,Euglyphis godeberti,Euglyphis,Lasiocampidae
1833741,Eomichla notandella,Eomichla,Oecophoridae
11828164,Oenoptila mediostrigata,Oenoptila,Geometridae
5118629,Hemiceras ochrospila,Hemiceras,Notodontidae
1743716,Zeiraphera shimekii,Zeiraphera,Tortricidae
6133356,Dichomeris ochreata,Dichomeris,Gelechiidae
10325227,Macaria pernicata,Macaria,Geometridae
1851460,Coleotechnites cristatella,Coleotechnites,Gelechiidae
1841382,Chlamydastis acronitis,Chlamydastis,Depressariidae
1976375,Herbita medullata,Herbita,Geometridae
5137986,Mylothris citrina,Mylothris,Pieridae
11416399,Hydata latifasciata,Hydata,Geometridae
8837818,Quasieulia jaliscana,Quasieulia,Tortricidae
1919511,Delias patrua,Delias,Pieridae
1965329,Euphyia linusaria,Euphyia,Geometridae
1842660,Anoncia psepsa,Anoncia,Cosmopterigidae
11767060,Mallomus lenosa,Mallomus,Geometridae
1970153,Prasinochrysa detracta,Prasinochrysa,Geometridae
1965001,Stenorrhoe longipennis,Stenorrhoe,Geometridae
1971812,Pherotesia subsimilis,Pherotesia,Geometridae
1989544,Incalvertia valdiviana,Incalvertia,Geometridae
1832021,Lecithocera leucomastis,Lecithocera,Lecithoceridae
1981470,Nephodia mundaoides,Nephodia,Geometridae
1852934,Batrachedra folia,Batrachedra,Batrachedridae
11846943,Keiferia georgei,Keiferia,Gelechiidae
1978668,Patalene valeria,Patalene,Geometridae
1851431,Coleotechnites elucidella,Coleotechnites,Gelechiidae
1842570,Cosmopterix scirpicola,Cosmopterix,Cosmopterigidae
1850983,Chionodes flavicorporella,Chionodes,Gelechiidae
8820739,Chionodes pavor,Chionodes,Gelechiidae
1737974,Cydia doria,Cydia,Tortricidae
1989794,Eois zorra,Eois,Geometridae
